date,symbol,ret
2026-06-01,600000.SH,-0.005056482333769801
2026-06-01,600001.SH,-0.005201003838193
2026-06-01,600002.SH,-0.0008469901606811174
2026-06-01,600003.SH,-0.01043916830396861
2026-06-01,600004.SH,-0.007383658462012907
2026-06-01,600005.SH,0.00088460584969218
2026-06-01,600006.SH,-0.0022981654983211704
2026-06-01,600007.SH,0.009558740439761612
2026-06-01,600008.SH,-0.011646340918232394
2026-06-01,600009.SH,-0.010994020808542112
2026-06-01,600010.SH,-0.0006760282604567798
2026-06-01,600011.SH,-0.018936633141670222
2026-06-01,600012.SH,-0.008194807419293154
2026-06-01,600013.SH,-0.004861597381743658
2026-06-01,600014.SH,0.01769130851711401
2026-06-01,600015.SH,0.0027980797699895584
2026-06-01,600016.SH,-0.00276918638170523
2026-06-01,600017.SH,-0.0009826945931355516
2026-06-01,600018.SH,-0.007213400919464761
2026-06-01,600019.SH,0.01663981070823627
2026-06-02,600000.SH,0.010089347115185327
2026-06-02,600001.SH,-0.007346573041983701
2026-06-02,600002.SH,0.0008815267036875128
2026-06-02,600003.SH,0.00554155505972787
2026-06-02,600004.SH,-0.006824808781804182
2026-06-02,600005.SH,-0.015498705460664838
2026-06-02,600006.SH,0.018149443005047013
2026-06-02,600007.SH,-0.0007620396093730333
2026-06-02,600008.SH,0.012945784874412874
2026-06-02,600009.SH,-0.0017039523572088034
2026-06-02,600010.SH,-0.0019431893907881168
2026-06-02,600011.SH,-0.0022452042205718505
2026-06-02,600012.SH,-0.00949891624849335
2026-06-02,600013.SH,0.003336535597968747
2026-06-02,600014.SH,-0.00560981850124057
2026-06-02,600015.SH,-0.009600569958659648
2026-06-02,600016.SH,-0.01211478062666127
2026-06-02,600017.SH,-0.01045245264057274
2026-06-02,600018.SH,0.021248576251613745
2026-06-02,600019.SH,-0.003491043866539391
2026-06-03,600000.SH,-0.0004379432032805368
2026-06-03,600001.SH,-0.012972376945830094
2026-06-03,600002.SH,-0.014402347016390243
2026-06-03,600003.SH,0.002602102068748123
2026-06-03,600004.SH,-0.0044777774911004
2026-06-03,600005.SH,0.0016852806483487592
2026-06-03,600006.SH,-0.0023965623188727143
2026-06-03,600007.SH,1.8799140701688047e-05
2026-06-03,600008.SH,-0.009593807319397279
2026-06-03,600009.SH,-0.008590679412241602
2026-06-03,600010.SH,-0.0030489849252368136
2026-06-03,600011.SH,-0.005211081390418638
2026-06-03,600012.SH,0.011214046127457421
2026-06-03,600013.SH,0.007554686566307758
2026-06-03,600014.SH,0.022400547194540647
2026-06-03,600015.SH,-0.010390890022353069
2026-06-03,600016.SH,0.013195367731774228
2026-06-03,600017.SH,0.0032135847465612636
2026-06-03,600018.SH,0.000258263310780059
2026-06-03,600019.SH,-0.004911757473863026
2026-06-04,600000.SH,0.015605461454910097
2026-06-04,600001.SH,0.011432251445510336
2026-06-04,600002.SH,0.002664362024276497
2026-06-04,600003.SH,-0.004074584177571389
2026-06-04,600004.SH,-0.012397646738901275
2026-06-04,600005.SH,0.017902631050581777
2026-06-04,600006.SH,0.0028409947907063896
2026-06-04,600007.SH,0.0024929482908865805
2026-06-04,600008.SH,-0.006935525848896443
2026-06-04,600009.SH,-0.010362157412356863
2026-06-04,600010.SH,0.003435461302814076
2026-06-04,600011.SH,0.0007997864495582381
2026-06-04,600012.SH,0.0015338493706621593
2026-06-04,600013.SH,0.0022355051500091917
2026-06-04,600014.SH,-0.004902475453719991
2026-06-04,600015.SH,0.004462531166912476
2026-06-04,600016.SH,-0.014346382387139901
2026-06-04,600017.SH,-0.011804208192497325
2026-06-04,600018.SH,-0.006635162264984461
2026-06-04,600019.SH,0.008991866782865673
2026-06-05,600000.SH,-0.0012376678352170086
2026-06-05,600001.SH,-0.012543377530527432
2026-06-05,600002.SH,0.008288611562127296
2026-06-05,600003.SH,-0.011907669914188587
2026-06-05,600004.SH,0.012621286776250375
2026-06-05,600005.SH,0.004937667626719382
2026-06-05,600006.SH,0.01540769779788401
2026-06-05,600007.SH,0.0044941403099001895
2026-06-05,600008.SH,0.007774308653846819
2026-06-05,600009.SH,-0.006001530138138727
2026-06-05,600010.SH,-0.0065097441526574314
2026-06-05,600011.SH,-0.0014881192764800845
2026-06-05,600012.SH,-0.010585383366578438
2026-06-05,600013.SH,-0.0134024060309339
2026-06-05,600014.SH,0.008027282198272362
2026-06-05,600015.SH,-0.004740857591868475
2026-06-05,600016.SH,0.0010352931886531296
2026-06-05,600017.SH,0.011915030374193657
2026-06-05,600018.SH,-0.013663852380690168
2026-06-05,600019.SH,-0.007564990990755098
2026-06-08,600000.SH,0.008970207762368152
2026-06-08,600001.SH,-0.015045948818417398
2026-06-08,600002.SH,-0.02080193911133237
2026-06-08,600003.SH,0.004879190669034071
2026-06-08,600004.SH,0.0035532709582007174
2026-06-08,600005.SH,-0.008895880574087519
2026-06-08,600006.SH,-0.009804408577742086
