date,symbol,weight
2026-06-01,600000.SH,0.03617819418106848
2026-06-01,600001.SH,0.053989188168657214
2026-06-01,600002.SH,0.06936824455619266
2026-06-01,600003.SH,0.03133941066708511
2026-06-01,600004.SH,0.048149428162761666
2026-06-01,600005.SH,0.061582230536293754
2026-06-01,600006.SH,0.03649784252956706
2026-06-01,600007.SH,0.06206166146836397
2026-06-01,600008.SH,0.06700188207200738
2026-06-01,600009.SH,0.03280499169394259
2026-06-01,600010.SH,0.05547038487013797
2026-06-01,600011.SH,0.07621578304150128
2026-06-01,600012.SH,0.036743468741307454
2026-06-01,600013.SH,0.0444615046024232
2026-06-01,600014.SH,0.07202561454543537
2026-06-01,600015.SH,0.03994404568335653
2026-06-01,600016.SH,0.041254538937367906
2026-06-01,600017.SH,0.06737724215207014
2026-06-01,600018.SH,0.02585600233455935
2026-06-01,600019.SH,0.04167834105590085
2026-06-02,600000.SH,0.03280431278016448
2026-06-02,600001.SH,0.047797352903913036
2026-06-02,600002.SH,0.07381794652231582
2026-06-02,600003.SH,0.034419932507088385
2026-06-02,600004.SH,0.04859657745097112
2026-06-02,600005.SH,0.05839386827069528
2026-06-02,600006.SH,0.0349943905017111
2026-06-02,600007.SH,0.046746448616064126
2026-06-02,600008.SH,0.08237351981725959
2026-06-02,600009.SH,0.03848907321008996
2026-06-02,600010.SH,0.04989717165518351
2026-06-02,600011.SH,0.0771389700898299
2026-06-02,600012.SH,0.033267855509962745
2026-06-02,600013.SH,0.05798187487387114
2026-06-02,600014.SH,0.07005316199305336
2026-06-02,600015.SH,0.03812254113469539
2026-06-02,600016.SH,0.04038162713435656
2026-06-02,600017.SH,0.07375580437772272
2026-06-02,600018.SH,0.026177980697440806
2026-06-02,600019.SH,0.03478958995361094
2026-06-03,600000.SH,0.029748257764023244
2026-06-03,600001.SH,0.05303312341496726
2026-06-03,600002.SH,0.08558841719818164
2026-06-03,600003.SH,0.027628510493015148
2026-06-03,600004.SH,0.048900047619098996
2026-06-03,600005.SH,0.0639703964655016
2026-06-03,600006.SH,0.026001347389531644
2026-06-03,600007.SH,0.05604369036567225
2026-06-03,600008.SH,0.070421999661711
2026-06-03,600009.SH,0.03571392178699821
2026-06-03,600010.SH,0.04478255888734295
2026-06-03,600011.SH,0.07549149365193296
2026-06-03,600012.SH,0.03247682761384347
2026-06-03,600013.SH,0.04939690154525226
2026-06-03,600014.SH,0.05892231398140333
2026-06-03,600015.SH,0.028889563403985657
2026-06-03,600016.SH,0.06059137721189536
2026-06-03,600017.SH,0.0652949158654311
2026-06-03,600018.SH,0.036881249529125956
2026-06-03,600019.SH,0.050223086151085894
2026-06-04,600000.SH,0.033815573198225764
2026-06-04,600001.SH,0.05767453293503339
2026-06-04,600002.SH,0.07174706357966355
2026-06-04,600003.SH,0.036764529551690614
2026-06-04,600004.SH,0.049627083699768655
2026-06-04,600005.SH,0.08522701981320266
2026-06-04,600006.SH,0.03620591804401451
2026-06-04,600007.SH,0.03476297844195098
2026-06-04,600008.SH,0.06510439324244022
2026-06-04,600009.SH,0.025596046678073844
2026-06-04,600010.SH,0.0265823631999984
2026-06-04,600011.SH,0.06686922028807718
2026-06-04,600012.SH,0.04358872611653731
2026-06-04,600013.SH,0.052256628254413844
2026-06-04,600014.SH,0.05986873827694848
2026-06-04,600015.SH,0.031197566469834292
2026-06-04,600016.SH,0.060689977637913395
2026-06-04,600017.SH,0.07436345721863184
