trade_date,ts_code,factor_value,forward_return,forward_return_1d,forward_return_2d,forward_return_3d,forward_return_5d,forward_return_10d,forward_return_20d,is_pool_all_a,is_pool_hs300,is_pool_zz500,is_pool_zz1000,is_pool_zz2000,stock_pool_memberships,primary_stock_pool
2026-01-02,000001.SZ,0.8206949549321301,0.011290963398395757,0.011290963398395757,-0.007939131821640211,0.03249792375386262,0.03608382741917744,0.017933935233077035,0.010500529712499878,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000002.SZ,-1.3073794120377966,-0.0244666159176146,-0.0244666159176146,-0.027630274457826676,-0.008288910573487882,-0.012976637140273108,-0.007725690814646512,-0.012274757426960228,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000003.SZ,-0.934347724071269,0.008751397439961199,0.008751397439961199,-0.008137701638128252,0.016624677384503513,0.002549355653743181,0.058418370212861906,-0.01788556731538671,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000004.SZ,0.26694815580345127,-0.033744678731521316,-0.033744678731521316,-0.04016691966272144,-0.009076478087180642,-0.0007939109850542206,-0.027711404052738375,-0.01971073812849883,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000005.SZ,0.5723575572021204,-0.004197671130285513,-0.004197671130285513,-0.00396135804702466,-0.005941589222567269,-0.021897827611692275,-0.0025938043539339697,0.00590496254389466,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000006.SZ,-1.1817142478371787,-0.04527472752018309,-0.04527472752018309,-0.039027898891060245,-0.01770000651321408,-0.03240490075980201,-0.037753384621946426,0.006090718714714929,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000007.SZ,0.5768495480449654,-0.020072035280086713,-0.020072035280086713,-0.010423228303653699,-0.011375756313431393,-0.020059253409696852,0.0201995321622937,0.00287433544803017,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000008.SZ,-1.6395392508027162,-0.00628964985498622,-0.00628964985498622,-0.005533407176503528,-0.006983454495887833,0.011412754795977916,0.003656723329066727,-0.010147421283297264,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000009.SZ,0.05655726659463247,0.04036184010505872,0.04036184010505872,0.017151764270564716,0.024575156432320527,0.01944049919913909,0.008404387394398166,0.001190006465037565,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000010.SZ,0.1172596453226557,0.03989729692053355,0.03989729692053355,0.03193874133522405,0.015886283641326174,0.02747577273394828,-0.0073362232829289435,0.016970467490756085,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000011.SZ,1.2691353925785553,0.01807206181941394,0.01807206181941394,0.007883837553627223,0.01972527833159898,-0.003175649113983877,0.013275737103931299,0.02087117123465731,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000012.SZ,0.27909601021837255,-0.004024685014886096,-0.004024685014886096,-0.010713522649217391,0.009253506122186521,-0.016736835014526136,-0.03213029876557675,-0.012064993028153389,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000013.SZ,-0.7472546359077418,0.012356394773615716,0.012356394773615716,0.017331612082726815,0.014472036694065377,0.0065033518242104075,-0.017198432629942063,0.014675455754658569,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000014.SZ,0.34911698857193263,-0.040460625479223446,-0.040460625479223446,-0.037102075381942615,-0.04491412950886943,-0.034157679674883173,0.003909127955744475,-0.020777009266639782,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000015.SZ,0.3764607956563252,-0.005459675256129086,-0.005459675256129086,-0.001683065369781871,0.0032921875650510015,0.002634342948832368,-0.01999843990844761,-0.024462146067264566,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000016.SZ,0.06684353961588001,0.013351394769690897,0.013351394769690897,0.008731871447787918,0.02227456472727756,0.0028324694463304568,0.02711385080935953,-0.036245995274775164,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000017.SZ,2.364362363848158,0.06727370739677677,0.06727370739677677,0.07058194201061208,0.06024762607495756,0.0495851316755177,0.036915216210652566,0.0011927485246360544,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000018.SZ,-1.0643455815453133,-0.020213954810061417,-0.020213954810061417,-0.025881953776010373,0.010983194804397585,-0.03036904628319969,-0.02105886763381474,0.004627065663836321,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000019.SZ,0.3222622077084057,0.01567608853305913,0.01567608853305913,0.01844109254684138,0.026650005239801752,0.024573028511248835,0.005705324990634505,-0.006964209954791474,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000020.SZ,0.2933856479819138,0.005875717675896023,0.005875717675896023,-0.0006103503432799045,0.009657723297086532,0.0184611414692196,0.01201787598609328,-0.011304130293443062,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000021.SZ,-0.08950615591374747,0.0221462702728035,0.0221462702728035,0.02097783513811844,-0.004839119811787699,0.008144358755818879,-0.0025403676941576836,-0.007422737201992391,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000022.SZ,0.09348091222246423,0.014392648943864982,0.014392648943864982,0.020959014755023302,0.022638339268996548,0.007459459645475824,0.010068734457892024,0.039449558188548596,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000023.SZ,0.8311476908036796,0.008100100834292554,0.008100100834292554,0.0061229627161974946,0.0063116202817396164,-0.02383079999673536,0.022866036545738083,-0.031547691690290675,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000024.SZ,0.09297114809272546,0.012823775656105513,0.012823775656105513,-0.004014382822795138,-0.0047439892748447916,0.01854081556880849,0.04439722424892744,-0.003958312035320559,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000025.SZ,0.9991447252735579,0.025424684779913886,0.025424684779913886,0.013770175819013866,0.011384753715575208,0.02450187341772645,-0.007456201235966688,0.011943291515436046,True,True,False,False,False,全A股|沪深300,沪深300
2026-01-02,000026.SZ,-1.4207824711929842,-0.010813033525639795,-0.010813033525639795,-0.008979103951432366,-0.007567128350407345,0.004899412442668637,-0.03393992682017672,-0.019455748406280518,True,True,False,False,False,全A股|沪深300,沪深300
